"number","title","pageid","namespace","length","touched"
"78","Talk:Ohio_State_University","577588","Talk","105100","20190603002606"
"79","Talk:Ganges","619572","Talk","6156","20190530200710"
"80","Talk:Lenin_Peak","636098","Talk","19564","20190530195850"
"81","Talk:Adlai_Stevenson_II","663710","Talk","34079","20190603002607"
"82","Talk:Cat_Stevens","772169","Talk","48238","20190530195357"
"83","Talk:Greco-Buddhist_art","778891","Talk","31383","20190530195113"
"84","Talk:Exercise","807958","Talk","83804","20190531072508"
"85","Talk:Neman","824218","Talk","12983","20190530200304"
"86","Talk:The_Carpenters","840948","Talk","11335","20190530195205"
"87","Talk:Yesterday_(Beatles_song)","851985","Talk","7222","20190530195853"
"88","Talk:Islamic_terrorism","852504","Talk","13540","20190602131204"
"89","Talk:Lunar_Roving_Vehicle","868716","Talk","81591","20190603002609"
"90","Talk:Sysop","892396","Talk","8381","20190530195854"
"91","Talk:Kyoto","943101","Talk","49656","20190527160433"
"92","Talk:Celine_Dion","956685","Talk","7184","20190530195523"
"93","Talk:The_Doctor_(Doctor_Who)","969372","Talk","12699","20190602002102"
"94","Talk:Ubuntu","990999","Talk","21064","20190530195401"
"95","Talk:Lost_(TV_series)","1087250","Talk","18127","20190603002613"
"96","Talk:Genesis_creation_narrative","1121830","Talk","47195","20190531154323"
"97","Talk:Jordanian_annexation_of_the_West_Bank","1194826","Talk","10679","20190530235627"
"98","Talk:Imelda_Marcos","1235741","Talk","14761","20190530200047"
"99","Talk:Madonna_(art)","1340686","Talk","30677","20190530195637"
"100","Talk:Sichuan_cuisine","1357671","Talk","52707","20190530195226"
"101","Talk:PATH_(rail_system)","1371259","Talk","45290","20190528104513"
"102","Talk:Hindko","1412872","Talk","81637","20190530195408"
"103","Talk:Chairperson","1443486","Talk","259595","20190527161057"
"104","Talk:Kielbasa","1635109","Talk","50635","20190530195239"
"105","Talk:Whitelisting","1640345","Talk","4267","20190531072435"
"106","Talk:Digital_single-lens_reflex_camera","1647026","Talk","50725","20190522021151"
"107","Talk:Ragamuffin_War","1653901","Talk","8874","20190527161302"
"108","Talk:List_of_airports_in_China","1663218","Talk","40955","20190530195136"
"109","Talk:Rights","1685698","Talk","2790","20190531064440"
"110","Talk:Molly_Holly","1729409","Talk","6185","20190527161350"
"111","Talk:Java","1737766","Talk","24409","20190528210046"
"112","Talk:Swami_Vivekananda","1752800","Talk","34514","20190531225214"
"113","Talk:Non-binary_gender","1778438","Talk","282288","20190603111150"
"114","Talk:Rapid_transit","1782524","Talk","9222","20190530200057"
"115","Talk:Old_Norse_religion","1797703","Talk","98212","20190530195550"
"116","Talk:Harris,_Outer_Hebrides","1845647","Talk","78404","20190528210046"
"117","Talk:Game_Boy_Micro","1903474","Talk","7926","20190602202308"
"118","Talk:List_of_Romanian_words_of_possible_Dacian_origin","1919053","Talk","54522","20190530200059"
"119","Talk:Michael_Cox_(independent_bishop)","1985072","Talk","96572","20190521012040"
"120","Talk:Cold-stimulus_headache","1992668","Talk","107537","20190530195556"
"121","Talk:Flag_of_China","1994418","Talk","52094","20190530195258"
"122","Talk:Chilling_effect/Archive_1","2029164","Talk","17588","20190530195422"
"123","Talk:Anthony_Wong_(Hong_Kong_actor)","2068111","Talk","18696","20190530195300"
"124","Talk:Men's_rights_movement","2089950","Talk","16528","20190531072212"
"125","Talk:Viscera_(wrestler)","2113708","Talk","45636","20190530200102"
"126","Talk:Gulbarga","2170915","Talk","12540","20190530200715"
"127","Talk:MF_Doom","2218740","Talk","64518","20190530200105"
"128","Talk:Inter_Milan","2250996","Talk","4603","20190530195152"
"129","Talk:Friuli_Venezia_Giulia","2279411","Talk","38020","20190516180454"
"130","Talk:Illegal_immigration","2294233","Talk","21358","20190516180301"
"131","Talk:List_of_recurring_Mario_franchise_enemies","2323702","Talk","3899","20190602202311"
"132","Talk:Rogue","2335394","Talk","3867","20190312131507"
"133","Talk:Eris_(dwarf_planet)","2337257","Talk","29854","20190530195713"
"134","Talk:Cheryl_(singer)","2344150","Talk","7474","20190526193926"
"135","Talk:KU_Leuven","2390778","Talk","19803","20190516181916"
"136","Talk:Eswatini","2575077","Talk","140078","20190530200110"
"137","Talk:Washington,_D.C.","2625172","Talk","25971","20190603002634"
"138","Talk:Sega_Genesis","2642105","Talk","19171","20190602202312"
"139","Talk:Indian_annexation_of_Hyderabad","2656624","Talk","80046","20190531225217"
"140","Talk:Ron_Killings","2697499","Talk","30192","20190530200112"
"141","Talk:R33_World's_Fair_(New_York_City_Subway_car)","2703210","Talk","7360","20190528104517"
"142","Talk:Jawaharlal_Nehru_University","2765568","Talk","9355","20190530200719"
"143","Talk:Chris_Brown","2862092","Talk","4688","20190603002637"
"144","Talk:Red_River_of_the_South","2876825","Talk","11669","20190603002637"
"145","Talk:Viva_Rapid_Transit","2893719","Talk","32891","20190530195326"
"146","Talk:North_Hollywood,_Los_Angeles","2915645","Talk","20283","20190530195327"
"147","Talk:Vaio","2944729","Talk","29212","20190531072013"
"148","Talk:Ubuntu_(disambiguation)","2956706","Talk","9811","20190513174311"
"149","Talk:Life_on_Mars_(song)","3059394","Talk","13967","20190516174457"
"150","Talk:Ivory_Coast","3195939","Talk","5977","20190530200120"
"151","Talk:Scouting_and_Guiding_in_mainland_China","3302773","Talk","38127","20190530195743"
"152","Talk:Jon_Snow_(character)","3414416","Talk","27763","20190602002110"
"153","Talk:Caitlyn_Jenner","3495983","Talk","5188","20190530200127"
"154","Talk:Ballarat_Grammar_School","3607865","Talk","13177","20190530195752"
"155","Talk:Bongbong_Marcos","3609929","Talk","38163","20190522021214"
"156","Talk:Esports","3685120","Talk","9812","20190602202313"
"157","Talk:Odia_language","3701950","Talk","108325","20190530200725"
"158","Talk:Tupac_(name)","3707549","Talk","24646","20190531225218"
"159","Talk:Yörüks","3828634","Talk","25550","20190530195955"
"160","Talk:Frazer_Nash","3832348","Talk","12730","20190530195408"
"161","Talk:Greek_Muslims","3858732","Talk","147815","20190530195955"
"162","Talk:Panthera_spelaea","3880513","Talk","67275","20190530195642"
"163","Talk:Impeachment_of_Bill_Clinton","3950732","Talk","9908","20190603002658"
"164","Talk:New_York_Daily_News","4015049","Talk","97828","20190516181317"
"165","Talk:Mbombela","4028170","Talk","11443","20190530195810"
"166","Talk:Yum_(software)","4032008","Talk","35105","20190531072015"
"167","Talk:9×19mm_Parabellum","4095191","Talk","16120","20190513175230"
"168","Talk:Magik_(Illyana_Rasputin)","4177694","Talk","19084","20190602002112"
"169","Talk:Bundesliga","4184289","Talk","52884","20190530195252"
"170","Talk:Jesus_walking_on_water","4224571","Talk","83428","20190530195424"
"171","Talk:Zagreb_Airport","4360221","Talk","32275","20190530195258"
"172","Talk:FCSB","4412952","Talk","35333","20190530195300"
"173","Talk:Range_(mathematics)","4509275","Talk","43577","20190530195658"
"174","Talk:Triborough_Bridge","4593040","Talk","75895","20190526035032"
"175","Talk:Lee_Joon-gi","4614198","Talk","108896","20190516180423"
"176","Talk:List_of_Doctor_Who_parodies","4629016","Talk","34073","20190530195831"
"177","Talk:Tigrayans","4666297","Talk","47574","20190530195308"
"178","Talk:Gangnam_District","4887412","Talk","35684","20190516180425"
"179","Talk:Mathematics_in_medieval_Islam","4926715","Talk","6468","20190530195715"
"180","Talk:Four_past_Midnight","5081511","Talk","44130","20190519073026"
"181","Talk:ANZAC_Mounted_Division","5321161","Talk","3593","20190531154323"
"182","Talk:Female_genital_mutilation","5358636","Talk","15468","20190530195724"
"183","Talk:Halle_(Saale)","5550012","Talk","12114","20190414075108"
"184","Talk:Ilie_Năstase","5583222","Talk","59134","20190530200211"
"185","Talk:Ceres_(dwarf_planet)","5595184","Talk","13296","20190530195911"
"186","Talk:Djibouti_(city)","5714094","Talk","20164","20190530195348"
"187","Talk:Novak_Djokovic","5787262","Talk","3876","20190603051413"
"188","Talk:Coach_Ernie_Pantusso","5822930","Talk","15746","20190603002734"
"189","Talk:Puppet_Master_(Marvel_Comics)","5919895","Talk","6370","20190602002116"
"190","Talk:Wonder_Pets!","5924362","Talk","59661","20190530200044"
"191","Talk:Concordia_University","6050815","Talk","68050","20190602065924"
"192","Talk:The_Dark_Knight_(film)","6207850","Talk","4953","20190602040332"
"193","Talk:Connie_Mack","6249617","Talk","22969","20190603002752"
"194","Talk:Ana_Ivanovic","6294057","Talk","5342","20190530200236"
"195","Talk:Plymouth_(disambiguation)","6330940","Talk","75432","20190530200245"
"196","Talk:Subtropical_Storm_Nicole","6376560","Talk","11316","20190530200112"
"197","Talk:Wong_Yuk-man","6545496","Talk","14741","20190530195719"
"198","Talk:Sia_(musician)","6623915","Talk","47544","20190601130543"
"199","Talk:Jasper_Tsang","6656454","Talk","15745","20190531225223"
"200","Talk:Ceres_(dwarf_planet)_in_fiction","6817446","Talk","13726","20190530200211"
"201","Talk:Magik_(comics)","6879756","Talk","1709","20190530195753"
"202","Talk:Imbros","6923545","Talk","132388","20190530200142"
"203","Talk:Territory_of_the_Military_Commander_in_Serbia","6955820","Talk","2952","20190602064333"
"204","Talk:List_of_video_games_notable_for_negative_reception","7038936","Talk","11653","20190602202329"
"205","Talk:Kalam_Valley","7299676","Talk","8388","20190522021327"
"206","Talk:Goalpariya_dialect","7555199","Talk","28542","20190530200803"
"207","Talk:Thessaloniki_Airport","7633759","Talk","38969","20190530195700"
"208","Talk:1971_Bangladesh_genocide","7657379","Talk","5069","20190526035035"
"209","Talk:Yokohama_FC","7666463","Talk","256","20190530195705"
"210","Talk:Kingdom_of_Tungning","7736981","Talk","19061","20190530195909"
"211","Talk:Sinhala_language","7962512","Talk","46983","20190530195636"
"212","Talk:Carl_Johnson_(Grand_Theft_Auto)","8148448","Talk","28036","20190602202333"
"213","Talk:Ukrainian_collaboration_with_Nazi_Germany","8570797","Talk","13186","20190520001645"
"214","Talk:Brooke_Tessmacher","8717519","Talk","33229","20190530200538"
"215","Talk:ATT","8780401","Talk","4948","20190312132522"
"216","Talk:Montréal-Nord","8945147","Talk","15029","20190602065924"
"217","Talk:\"Heroes\"_(David_Bowie_song)","9071584","Talk","11130","20190516174620"
"218","Talk:Rajneesh","9254913","Talk","49189","20190530200832"
"219","Talk:Maria_Pia_de_Saxe-Coburgo_e_Bragança","9673839","Talk","9683","20190522021430"
"220","Talk:Karaganda","9686216","Talk","34907","20190530200530"
"221","Talk:Rogue_(vagrant)","9886774","Talk","21037","20190530200605"
"222","Talk:Acronym","10109720","Talk","80462","20190530195738"
"223","Talk:Gungnae","10141126","Talk","22691","20190530200000"
"224","Talk:Reading","10285742","Talk","100912","20190530195742"
"225","Talk:Medhi_Benatia","10329687","Talk","6133","20190530200022"
"226","Talk:Impeachment_of_Andrew_Johnson","10346299","Talk","17540","20190603002958"
"227","Talk:Nat_Geo_Wild","10515846","Talk","17617","20190530200312"
"228","Talk:Takasue's_daughter","10517848","Talk","20865","20190516181743"
"229","Talk:Go_Now_(film)","10593954","Talk","2329","20190530200315"
"230","Talk:Cute_(Japanese_idol_group)","10865218","Talk","133063","20190522021504"
"231","Talk:Subtropical_Storm_Andrea_(2007)","10923897","Talk","35684","20190530200327"
"232","Talk:Islamic_State_of_Iraq_and_the_Levant","11145227","Talk","26866","20190603115409"
"233","Talk:Meghan,_Duchess_of_Sussex","11234158","Talk","14458","20190603003022"
"234","Talk:Sarah_Jane_Brown","11324534","Talk","4541","20190530200827"
"235","Talk:Sexually_transmitted_infection","11504929","Talk","8170","20190530200114"
"236","Talk:Shut_Up_and_Drive","11613953","Talk","98955","20190528104544"
"237","Talk:Grandin_station","11812411","Talk","21808","20190530200224"
"238","Talk:The_Best_Is_Yet_to_Come","11840037","Talk","12889","20190516181846"
"239","Talk:Sami_Brady_and_EJ_DiMera","11866102","Talk","11735","20190602002135"
"240","Talk:Larry_the_Lobster","11888803","Talk","16260","20190530200231"
"241","Talk:Aleksandër_Moisiu_University_of_Durrës","11959051","Talk","8407","20190530200236"
"242","Talk:Czech_First_League","12031801","Talk","51802","20190530200240"
"243","Talk:Charles,_Prince_of_Wales","12215406","Talk","5595","20190603051413"
"244","Talk:Cà_Mau","12246831","Talk","16212","20190516175000"
"245","Talk:Jilu_Mandarin","12299401","Talk","22375","20190530195845"
"246","Talk:Kiev/naming","12582445","Talk","41256","20190523104000"
"247","Talk:Android_(operating_system)","12610501","Talk","8869","20190531072032"
"248","Talk:Hwando","12902061","Talk","53592","20190530200404"
"249","Talk:Go_Now","13042116","Talk","18457","20190530200415"
"250","Talk:No_Regrets_(Faye_Wong_album)","13075311","Talk","41685","20190530200616"
"251","Talk:Julia_Görges","13101819","Talk","71836","20190530200416"
"252","Talk:Marko_Djokovic","13155703","Talk","33687","20190530200417"
"253","Talk:Bad_(tour)","13469660","Talk","33127","20190531225233"
"254","Talk:Nisour_Square_massacre","13490075","Talk","116615","20190603003117"
"255","Talk:McCourt_School_of_Public_Policy","13607263","Talk","4530","20190603003119"
"256","Talk:Association_football","13626060","Talk","25088","20190602170809"
"257","Talk:Catholic_Memorial_School","13665392","Talk","77888","20190603003119"
"258","Talk:Jump","13951021","Talk","40323","20190504043924"
"259","Talk:Thirty_Seconds_to_Mars","14216050","Talk","13501","20190530200538"
"260","Talk:Walter_Blume_(aircraft_designer)","14235283","Talk","13368","20190530200539"
"261","Talk:Great_Famine_(Ireland)","14570636","Talk","28680","20190528213624"
"262","Talk:Deadmau5","15369113","Talk","6624","20190603062411"
"263","Talk:Brunswick_metropolitan_area","15449757","Talk","39598","20190530201143"
"264","Talk:Liancourt_Rocks","15945001","Talk","12297","20190528210052"
"265","Talk:Union_Jack","16208755","Talk","135518","20190531225237"
"266","Talk:Georgia","17238553","Talk","6392","20190530201231"
"267","Talk:Médecins_Sans_Frontières","17378418","Talk","42718","20190530200457"
"268","Talk:Wario_Land:_Shake_It!","17649217","Talk","137826","20190602202352"
"269","Talk:Cat","17673008","Talk","21066","20190530200503"
"270","Talk:Viet_Cong","17717446","Talk","5609","20190603171742"
"271","Talk:Connie_Mack_(disambiguation)","17925976","Talk","805","20190312133718"
"272","Talk:List_of_Smallville_characters","17979160","Talk","89157","20190602002203"
"273","Talk:Scott_Walker","17981639","Talk","40622","20190430050448"
"274","Talk:Plymouth","18540083","Talk","169579","20190516182532"
"275","Talk:Fergie_(singer)","18543332","Talk","7820","20190530200101"
"276","Talk:Orange_(colour)","18554251","Talk","6641","20190528104655"
"277","Talk:Fun_(band)","18868493","Talk","38075","20190603051413"
"278","Talk:Stone_Cold_Steve_Austin","18962327","Talk","28001","20190603003318"
"279","Talk:Thriller_(Michael_Jackson_album)","19042731","Talk","28421","20190603003319"
"280","Talk:East_Timor","19156599","Talk","74025","20190530201231"
"281","Talk:Yahoo!","19224779","Talk","6229","20190603051413"
"282","Talk:Thessaloniki_International_Fair","19237733","Talk","3286","20190414075846"
"283","Talk:MAVEN","19335849","Talk","27948","20190530200629"
"284","Talk:Great_Recession","19337273","Talk","130670","20190530200116"
"285","Talk:List_of_Lost_cast_members","19439184","Talk","13438","20190602002205"
"286","Talk:Financial_crisis_of_2007–2008","19637240","Talk","133723","20190521012246"
"287","Talk:Sicilian_Mafia","19658348","Talk","42884","20190530201254"
"288","Talk:Go_(game)","19719425","Talk","121391","20190530201257"
"289","Talk:Old_Post_Office_(Washington,_D.C.)","19875261","Talk","32478","20190603003330"
"290","Talk:Myocardial_infarction","19916715","Talk","2677","20190530200640"
"291","Talk:Benjamin_Franklin,_Jr.","19929776","Talk","14245","20190530201304"
"292","Talk:Orizuru_Osen","20092102","Talk","45685","20190516182304"
"293","Talk:Prince_Harry,_Duke_of_Sussex","20757863","Talk","38520","20190603051413"
"294","Talk:Mangalore","20890196","Talk","51545","20190530201033"
"295","Talk:Journey_to_the_Center_of_the_Earth_(2008_direct-to-video_film)","20981072","Talk","6940","20190516183226"
"296","Talk:Dot_the_i","21236604","Talk","60191","20190521012254"
"297","Talk:Las_Vegas","21243883","Talk","9514","20190603003349"
"298","Talk:Windows_Me","21290954","Talk","16717","20190531072056"
"299","Talk:Star_Wars_expanded_to_other_media","21304534","Talk","30967","20190530201954"
"300","Talk:2012_phenomenon","21583757","Talk","10726","20190530200731"
"301","Talk:Drake_(musician)","21963379","Talk","54801","20190531225245"
"302","Talk:Journey_Through_the_Decade","22075926","Talk","39633","20190515153932"
"303","Talk:London_Intermediate_Football_Championship","22467586","Talk","33255","20190531203850"
"304","Talk:National_Pension_System","22722003","Talk","45307","20190530201104"
"305","Talk:Glee_(TV_series)","22868654","Talk","23918","20190603051413"
"306","Talk:Thiago_Alcântara","23065964","Talk","48566","20190530201705"
"307","Talk:Robin_Hood_(2009_film)","23078666","Talk","13854","20190530201109"
"308","Talk:She_Wolf","23684271","Talk","27816","20190601225300"
"309","Talk:Worcester","23822261","Talk","8461","20190530201834"
"310","Talk:Dolce_Vito_–_Dream_Restaurant","24090531","Talk","4465","20190530200753"
"311","Talk:Paul_the_Apostle","24291097","Talk","8546","20190601085719"
"312","Talk:Sega_v._Accolade","24495553","Talk","43679","20190603003431"
"313","Talk:Newport,_Wales","24688601","Talk","102770","20190516185216"
"314","Talk:Association_football/Archive_20","24834452","Talk","44311","20190312134541"
"315","Talk:Love?","24852182","Talk","8830","20190506154656"
"316","Talk:Hard_left","24974303","Talk","72915","20190530202007"
"317","Talk:Ugetsu_Monogatari","25084094","Talk","101637","20190521012319"
"318","Talk:Mount_Lebanon_Mutasarrifate","25098847","Talk","10835","20190530200329"
"319","Talk:Found_footage_(film_technique)","25101810","Talk","2153","20190516183649"
"320","Talk:Patient_Protection_and_Affordable_Care_Act","25226705","Talk","18627","20190603051413"
"321","Talk:Subtropical_Storm_Alpha","25662620","Talk","34805","20190530200825"
"322","Talk:Maize","26513719","Talk","10286","20190531192239"
"323","Talk:W-B-X_(W-Boiled_Extreme)","26533637","Talk","70619","20190516182549"
"324","Talk:Sal_Khan","26550863","Talk","18376","20190521012327"
"325","Talk:Gönyeli","27204647","Talk","15234","20190530202145"
"326","Talk:Chelsea_Manning","27691734","Talk","23710","20190603051413"
"327","Talk:Zhu_Wen","28322559","Talk","58142","20190530202250"
"328","Talk:Anthony_Davis","28357642","Talk","50645","20190603003527"
"329","Talk:Michael_McCormack_(Australian_politician)","28494549","Talk","27147","20190530202415"
"330","Talk:Como_Zoo","28694311","Talk","8302","20190530201104"
"331","Talk:Internal_model_(motor_control)","28739242","Talk","5369","20190530202752"
"332","Talk:Hurricane_Karl","28853263","Talk","75622","20190530200949"
"333","Talk:Association_football/Article_name","28917218","Talk","50601","20190314192705"
"334","Talk:Multiplayer_online_battle_arena","29266654","Talk","7458","20190602202418"
"335","Talk:1960–61_campaign_at_the_China–Burma_border","29314409","Talk","8213","20190530202434"
"336","Talk:Doug_Ford","29368160","Talk","54098","20190601085719"
"337","Talk:Deadline_Hollywood","29504869","Talk","69727","20190516181546"
"338","Talk:Syrian_Civil_War","30741836","Talk","13412","20190603051413"
"339","Talk:Libyan_Civil_War_(2011)","30911357","Talk","72886","20190531225256"
"340","Talk:Black_Caviar","30946335","Talk","21351","20190530202946"
"341","Talk:Association_football/Archive_23","31020749","Talk","31932","20190312135058"
"342","Talk:Professor_Hershel_Layton","31321875","Talk","16017","20190602202455"
"343","Talk:List_of_films_considered_the_worst","31987056","Talk","8508","20190530200645"
"344","Talk:Ancient_synagogues_in_Palestine","32038265","Talk","39316","20190530235644"
"345","Talk:North_Korea","32068223","Talk","14833","20190603123613"
"346","Talk:America's_Next_Top_Model_(season_17)","32110365","Talk","43802","20190530201155"
"347","Talk:Showtime_(TV_network)","32318145","Talk","17831","20190603003911"
"348","Talk:Usher_(musician)","32361366","Talk","18973","20190516175410"
"349","Talk:Pink_slime","32395905","Talk","10130","20190530203108"
"350","Talk:2011_England_riots","32661948","Talk","8429","20190531225259"
"351","Talk:Lego_House","33129422","Talk","3582","20190504063718"
"352","Talk:Republic_of_China_(1912–1949)","33167687","Talk","88998","20190531225259"
"353","Talk:Star_Trek_Into_Darkness","33786129","Talk","17283","20190603051413"
"354","Talk:C_Sharp_(programming_language)","33877100","Talk","21933","20190531072105"
"355","Talk:List_of_fictional_bars_and_pubs","34301504","Talk","10077","20190530200744"
"356","Talk:Shooting_of_Trayvon_Martin","35075804","Talk","16791","20190603051413"
"357","Talk:Afghanistan_conflict_(1978–present)","35515594","Talk","10806","20190530203546"
"358","Talk:Connie_Mak_Kit-man","35900752","Talk","24737","20190516194753"
"359","Talk:Charlotte_Flair","36295973","Talk","96624","20190603004114"
"360","Talk:Faithful_Word_Baptist_Church","36382894","Talk","36573","20190530200845"
"361","Talk:2012–13_North_American_drought","36385031","Talk","22769","20190516175817"
"362","Talk:Raymond_Chan_Chi-chuen","36698416","Talk","39173","20190530200852"
"363","Talk:2012_Benghazi_attack","37020080","Talk","13605","20190603004131"
"364","Talk:Tenedos","37047313","Talk","9501","20190530201457"
"365","Talk:HTC_One_(M7)","38416199","Talk","14965","20190531072110"
"366","Talk:Christopher_Dorner_shootings_and_manhunt","38454930","Talk","15059","20190530202826"
"367","Talk:Aqueduct_(water_supply)","38540153","Talk","49874","20190530201544"
"368","Talk:Bohemian_Crown_Jewels","38680132","Talk","32540","20190530203403"
"369","Talk:SimCity_(2013_video_game)","38744850","Talk","7683","20190603051413"
"370","Talk:The_Empire_Strikes_Back","39273515","Talk","10769","20190603004210"
"371","Talk:Blurred_Lines","39404594","Talk","24533","20190516175704"
"372","Talk:Trial_of_George_Zimmerman","39511456","Talk","41314","20190603004214"
"373","Talk:Nong_Quanfu","39570274","Talk","7330","20190530203452"
"374","Talk:Qin_(surname)","39836838","Talk","10977","20190530203509"
"375","Talk:USB","39837474","Talk","5284","20190531072112"
"376","Talk:Deadmau5/Archive_2","39854676","Talk","175781","20190512163111"
"377","Talk:Bangerz","40205552","Talk","7755","20190522022900"
"378","Talk:Vikings_(2012_TV_series)","40260986","Talk","74868","20190530201640"
"379","Talk:CS_Universitatea_Craiova","40931186","Talk","43990","20190530204208"
"380","Talk:Lana_(wrestler)","41421406","Talk","23546","20190522022924"
"381","Talk:The_Interview","41466438","Talk","4994","20190603004243"
"382","Talk:San_Francisco_tech_bus_protests","42045869","Talk","17801","20190530201744"
"383","Talk:Abby_Martin","42111061","Talk","12470","20190530203649"
"384","Talk:Inter_Milan/Archive_3","42150689","Talk","123094","20190531225309"
"385","Talk:Western_African_Ebola_virus_epidemic","42345103","Talk","19220","20190530201109"
"386","Talk:X_(Ed_Sheeran_album)","42455096","Talk","37184","20190522022945"
"387","Talk:Dragon_2","42919659","Talk","55116","20190530204241"
"388","Talk:Oleg_Sentsov","43251881","Talk","39954","20190516191338"
