Libyan Civil War (2011) (n=18)
-----------------------  -  -----------------------  -----------------------
Genesis creation myth          →  Creation according to Genesis  2010/2/14 16:49 (+0d)
Creation according to Genesis  →  Genesis creation myth          2010/2/14 17:59 (+0d)
Genesis creation myth          →  Genesis creation narrative     2010/4/28 1:29 (+72d)
-----------------------------  -  -----------------------------  -----------------------

Western African Ebola virus epidemic (n=15)
--------------------------------------  -  --------------------------------------  -----------------------
                                        →  2014 Guinea ebola outbreak              2014/3/29 20:42 ()
2014 Guinea ebola outbreak              →  2014 Guinea Ebola outbreak              2014/3/31 17:59 (+1d)
2014 Guinea Ebola outbreak              →  2014 West Africa Ebola outbreak         2014/4/4 14:40 (+3d)
2014 West Africa Ebola outbreak         →  2014 West Africa Ebola virus outbreak   2014/8/10 14:53 (+128d)
2014 West Africa Ebola virus outbreak   →  West Africa Ebola virus outbreak        2014/8/31 21:5 (+21d)
West Africa Ebola virus outbreak        →  2014 West Africa Ebola virus outbreak   2014/9/1 17:30 (+0d)
2014 West Africa Ebola virus outbreak   →  West Africa Ebola virus epidemic        2014/9/6 12:53 (+4d)
West Africa Ebola virus epidemic        →  Ebola virus epidemic in West Africa     2014/9/6 13:18 (+0d)
Ebola virus epidemic in West Africa     →  2014 West African Ebola virus epidemic  2014/9/8 7:11 (+1d)
2014 West African Ebola virus epidemic  →  Ebola virus epidemic in West Africa     2014/9/8 9:25 (+0d)
Ebola virus epidemic in West Africa     →  2014 Ebola pandemic                     2014/9/11 7:29 (+2d)
2014 Ebola pandemic                     →  Ebola virus epidemic in West Africa     2014/9/11 9:19 (+0d)
Ebola virus epidemic in West Africa     →  Ebola virus pandemic                    2014/10/12 15:25 (+31d)
Ebola virus pandemic                    →  Ebola virus epidemic in West Africa     2014/10/12 15:38 (+0d)
Ebola virus epidemic in West Africa     →  West African Ebola virus epidemic       2016/2/3 8:45 (+478d)
West African Ebola virus epidemic       →  Western African Ebola virus epidemic    2019/5/13 13:4 (+1195d)
Western African Ebola virus epidemic    →  Western Africa Ebola virus epidemic     2019/5/19 15:30 (+6d)
Western Africa Ebola virus epidemic     →  Western African Ebola virus epidemic    2019/5/19 18:32 (+0d)
--------------------------------------  -  --------------------------------------  -----------------------

Ganges (n=15)
---------------------------  -  ---------------------------  ------------------------
                             →  Ganges                       2001/8/14 17:55 ()
Ganges                       →  Хаггер                       2008/8/30 22:44 (+2573d)
Хаггер                       →  Ganges                       2008/8/30 22:45 (+0d)
Ganges                       →  Gange                        2009/9/7 4:29 (+372d)
Gange                        →  Ganges                       2009/9/7 4:30 (+0d)
Ganges                       →  MediaWiki talk:Ganges River  2010/1/3 13:6 (+118d)
MediaWiki talk:Ganges River  →  Ganges                       2010/1/3 13:7 (+0d)
---------------------------  -  ---------------------------  ------------------------

Syrian Civil War (n=15)
-------------------------------  -  -------------------------------  ------------------------
                                 →  2011 Syrian protests             2011/2/3 23:29 ()
2011 Syrian protests             →  2011 Syrian uprising             2011/4/25 21:15 (+80d)
2011 Syrian uprising             →  2011–2012 Syrian uprising        2011/12/31 22:52 (+250d)
2011–2012 Syrian uprising        →  2011–2012 Syrian Revolution      2012/3/24 18:35 (+83d)
2011–2012 Syrian Revolution      →  2011–2012 Syrian Uprising        2012/3/24 18:43 (+0d)
2011–2012 Syrian Uprising        →  2011–2012 Syrian uprising        2012/3/24 19:8 (+0d)
2011–2012 Syrian uprising        →  Syrian uprising (2011-present)   2012/4/16 14:11 (+22d)
Syrian uprising (2011-present)   →  Syrian uprising (2011–present)   2012/4/16 15:35 (+0d)
Syrian uprising (2011–present)   →  2011-2012 syrian uprising        2012/6/1 17:27 (+46d)
2011-2012 syrian uprising        →  Syrian uprising (2011–present)   2012/6/1 17:37 (+0d)
Syrian uprising (2011–present)   →  Syrian Civil War (2011–present)  2012/6/22 20:1 (+21d)
Syrian Civil War (2011–present)  →  Syrian uprising (2011–present)   2012/6/23 23:12 (+1d)
Syrian uprising (2011–present)   →  Syrian Civil War (2011–present)  2012/6/24 12:10 (+0d)
Syrian Civil War (2011–present)  →  Syrian uprising (2011–present)   2012/6/24 12:17 (+0d)
Syrian uprising (2011–present)   →  Syrian Civil War (2011–present)  2012/7/23 10:54 (+28d)
Syrian Civil War (2011–present)  →  Syrian Civil War                 2012/8/5 11:57 (+13d)
Syrian Civil War                 →  Syrian civil war                 2012/8/20 13:55 (+15d)
Syrian civil war                 →  Syrian uprising 2011/12          2012/10/29 14:35 (+70d)
Syrian uprising 2011/12          →  Syrian civil war                 2012/10/29 14:40 (+0d)
Syrian civil war                 →  Syrian Civil War                 2012/11/3 16:40 (+5d)
Syrian Civil War                 →  Syrian civil war                 2012/11/3 17:18 (+0d)
Syrian civil war                 →  Syrian Dignity Revolution        2013/3/18 3:30 (+134d)
Syrian Dignity Revolution        →  Syrian civil war                 2013/3/18 3:32 (+0d)
Syrian civil war                 →  Syrian Uprising 2011             2013/5/19 2:7 (+61d)
Syrian Uprising 2011             →  Syrian civil war                 2013/5/19 2:9 (+0d)
Syrian civil war                 →  Syrian Civil War                 2013/12/2 5:43 (+197d)
Syrian Civil War                 →  Syrian civil war                 2016/5/14 4:34 (+893d)
Syrian civil war                 →  Syrian Civil War                 2016/5/31 11:13 (+17d)
Syrian Civil War                 →  Syrian Civil War zxcvbnm         2016/5/31 16:5 (+0d)
Syrian Civil War zxcvbnm         →  Syrian Civil War                 2016/5/31 16:9 (+0d)
Syrian Civil War                 →  Syrian Civil War zxcvbnm         2016/5/31 16:10 (+0d)
Syrian Civil War zxcvbnm         →  Syrian Civil War                 2016/5/31 16:11 (+0d)
Syrian Civil War                 →  Syrian Civil War zxcvbnm         2016/5/31 16:12 (+0d)
Syrian Civil War zxcvbnm         →  Syrian Civil War                 2016/5/31 16:14 (+0d)
Syrian Civil War                 →  Syrian civil war                 2016/7/3 14:33 (+32d)
Syrian civil war                 →  Syrian Civil War                 2016/7/4 17:47 (+1d)
Syrian Civil War                 →  Syrian civil war                 2016/7/4 17:48 (+0d)
Syrian civil war                 →  Syrian Civil War                 2016/10/11 12:42 (+98d)
-------------------------------  -  -------------------------------  ------------------------

Islamic State of Iraq and the Levant (n=13)
-----------------------------------------  -  -----------------------------------------  -----------------------
                                           →  Islamic State of Iraq                      2007/1/24 10:26 ()
Islamic State of Iraq                      →  Islamic State of Iraq and the Levant       2013/6/3 15:56 (+2322d)
Islamic State of Iraq and the Levant       →  Islamic State of Iraq                      2013/6/16 13:48 (+12d)
Islamic State of Iraq                      →  Islamic State of Iraq and Syria            2013/7/13 20:36 (+27d)
Islamic State of Iraq and Syria            →  Islamic State of Iraq and the Levant       2013/8/20 19:19 (+37d)
Islamic State of Iraq and the Levant       →  Islamic State in Iraq and the Levant       2014/6/11 11:47 (+294d)
Islamic State in Iraq and the Levant       →  Islamic State of Iraq and the Levant       2014/6/12 9:19 (+0d)
Islamic State of Iraq and the Levant       →  Islamic State in Iraq and the Levant       2014/6/12 9:22 (+0d)
Islamic State in Iraq and the Levant       →  Islamic State of Iraq and the Levant       2014/6/29 15:15 (+17d)
Islamic State of Iraq and the Levant       →  The Islamic State                          2014/6/30 9:46 (+0d)
The Islamic State                          →  Islamic State of Iraq and the Levant       2014/6/30 10:11 (+0d)
Islamic State of Iraq and the Levant       →  Islamic State (Caliphate)                  2014/7/8 16:37 (+8d)
Islamic State (Caliphate)                  →  The Islamic State (Caliphate)              2014/7/8 16:50 (+0d)
The Islamic State (Caliphate)              →  Islamic State of Iraq and the Levant       2014/7/8 18:6 (+0d)
Islamic State of Iraq and the Levant       →  Islamic State (Caliphate in 21st Century)  2014/9/27 8:58 (+80d)
Islamic State (Caliphate in 21st Century)  →  Islamic State of Iraq and the Levant       2014/9/27 9:9 (+0d)
-----------------------------------------  -  -----------------------------------------  -----------------------

Madonna (n=12)
------------------------  -  ------------------------  ---------------------
                          →  Madonna                   2002/2/8 5:0 ()
Madonna                   →  Madonna (disambiguation)  2007/1/7 1:1 (+1793d)
Madonna (disambiguation)  →  Madonna                   2007/1/13 22:32 (+6d)
------------------------  -  ------------------------  ---------------------

Madonna (entertainer) (n=12)
------------------------  -  ------------------------  ------------------------
                          →  Madonna (entertainer)     2002/10/29 17:6 ()
Madonna (entertainer)     →  Madonna (singer)          2006/7/10 22:16 (+1350d)
Madonna (singer)          →  Madonna (entertainer)     2006/7/12 15:0 (+1d)
Madonna (entertainer)     →  Madonna Louise Ciccone    2006/10/17 12:35 (+96d)
Madonna Louise Ciccone    →  Madonna (entertainer)     2006/10/17 14:17 (+0d)
Madonna (entertainer)     →  Madonna (Artiste)         2006/12/30 10:34 (+73d)
Madonna (Artiste)         →  Madonna (entertainer)     2006/12/30 23:12 (+0d)
Madonna (entertainer)     →  Madonna (Artiste)         2006/12/31 6:31 (+0d)
Madonna (Artiste)         →  Madonna (entertainer)     2006/12/31 16:22 (+0d)
Madonna (entertainer)     →  Madonna (Performer)       2007/1/4 13:8 (+3d)
Madonna (Performer)       →  Madonna (Entertainer)     2007/1/4 18:57 (+0d)
Madonna (Entertainer)     →  Madonna (entertainer)     2007/1/4 22:24 (+0d)
Madonna (entertainer)     →  Madonna (Entertainer)     2007/1/5 10:51 (+0d)
Madonna (Entertainer)     →  Madonna (entertainer)     2007/1/5 21:7 (+0d)
Madonna (entertainer)     →  Madonna (singer/actress)  2007/1/6 9:24 (+0d)
Madonna (singer/actress)  →  Madonna (entertainer)     2007/1/6 15:33 (+0d)
------------------------  -  ------------------------  ------------------------

Madonna (art) (n=12)
  -  -------------  -------------------
  →  Madonna (art)  2002/10/29 17:21 ()
  -  -------------  -------------------

Chairperson (n=11)
----------------  -  ----------------  ------------------------
                  →  Chairman          2005/12/17 18:27 ()
Chairman          →  Chairperson       2006/1/7 10:25 (+20d)
Chairperson       →  Chairperson/Temp  2019/5/16 11:36 (+4877d)
Chairperson/Temp  →  Chairperson       2019/5/16 11:38 (+0d)
----------------  -  ----------------  ------------------------

Saint Peter (n=11)
---------------------  -  ---------------------  -----------------------
                       →  Saint Peter            2001/10/11 21:26 ()
Saint Peter            →  Saint Peter Ryan       2008/4/11 5:2 (+2373d)
Saint Peter Ryan       →  Saint Peter            2008/4/11 5:6 (+0d)
Saint Peter            →  Apostle Peter          2009/9/11 6:42 (+518d)
Apostle Peter          →  Saint Peter            2009/9/12 20:17 (+1d)
Saint Peter            →  Simon Peter            2009/10/18 9:52 (+35d)
Simon Peter            →  Saint Peter            2009/10/18 11:12 (+0d)
Saint Peter            →  Saint Peter/Temp       2011/5/3 8:37 (+561d)
Saint Peter/Temp       →  Saint Peter            2011/5/3 8:37 (+0d)
Saint Peter            →  Saint Peter/Temp       2011/5/3 14:2 (+0d)
Saint Peter/Temp       →  Saint Peter            2011/5/3 14:16 (+0d)
Saint Peter            →  Peter (given name)     2011/5/3 14:18 (+0d)
Peter (given name)     →  Saint Peter            2011/5/3 14:21 (+0d)
Saint Peter            →  MediaWiki talk:Peter   2011/5/3 14:23 (+0d)
MediaWiki talk:Peter   →  Saint Peter            2011/5/3 14:24 (+0d)
Saint Peter            →  Wikipedia:Saint Peter  2016/5/10 7:39 (+1833d)
Wikipedia:Saint Peter  →  Saint Peter            2016/5/10 7:44 (+0d)
---------------------  -  ---------------------  -----------------------

Georgia (country) (n=11)
--------------------------------  -  --------------------------------  ------------------------
                                  →  Georgia (country)                 2001/9/23 8:34 ()
Georgia (country)                 →  Georgian Republic                 2007/5/25 17:18 (+2070d)
Georgian Republic                 →  Georgia (country)                 2007/5/25 20:35 (+0d)
Georgia (country)                 →  ҢAGG﻿ER?                          2008/5/3 2:19 (+343d)
ҢAGG﻿ER?                          →  Georgia (country)                 2008/5/3 2:28 (+0d)
Georgia (country)                 →  Georgia, Caucasus                 2008/7/16 7:27 (+74d)
Georgia, Caucasus                 →  Georgia (country)                 2008/7/16 7:28 (+0d)
Georgia (country)                 →  Gruzia                            2008/8/24 9:21 (+39d)
Gruzia                            →  Georgia (country)                 2008/8/24 9:40 (+0d)
Georgia (country)                 →  H....A..E....R?                   2008/10/2 5:31 (+38d)
H....A..E....R?                   →  Georgia (country)                 2008/10/2 5:32 (+0d)
Georgia (country)                 →  MediaWiki talk:Georgia, Caucasus  2010/2/7 5:36 (+493d)
MediaWiki talk:Georgia, Caucasus  →  Georgia (country)                 2010/2/7 5:37 (+0d)
--------------------------------  -  --------------------------------  ------------------------

Bangalore (n=11)
---------  -  ---------  ------------------------
           →  Bangalore  2002/2/3 18:0 ()
Bangalore  →  Bengalūru  2006/11/2 16:31 (+1732d)
Bengalūru  →  Bangalore  2006/11/2 18:37 (+0d)
Bangalore  →  Bengaluru  2006/11/7 12:5 (+4d)
Bengaluru  →  Bangalore  2006/11/7 20:46 (+0d)
Bangalore  →  Bengalūru  2006/11/13 6:59 (+5d)
Bengalūru  →  Bangalore  2006/11/13 8:35 (+0d)
Bangalore  →  Bangaluru  2007/8/22 13:21 (+282d)
Bangaluru  →  Bengaluru  2007/8/22 19:3 (+0d)
Bengaluru  →  Bangalore  2007/9/3 13:49 (+11d)
Bangalore  →  Bengaluru  2007/10/6 11:42 (+32d)
Bengaluru  →  Bangalore  2007/10/6 13:54 (+0d)
Bangalore  →  Bengaluru  2008/4/1 4:48 (+177d)
Bengaluru  →  Bangalore  2008/4/4 7:16 (+3d)
Bangalore  →  Bengaluru  2008/4/5 3:16 (+0d)
Bengaluru  →  Bangalore  2008/4/5 4:2 (+0d)
Bangalore  →  Bengaluru  2014/11/2 1:14 (+2401d)
Bengaluru  →  Bangalore  2014/11/2 5:6 (+0d)
---------  -  ---------  ------------------------

Georgia (n=11)
------------------------  -  ------------------------  -----------------------
                          →  Georgia                   2001/9/23 8:24 ()
Georgia                   →  Georgia (Disambiguation)  2006/1/25 23:6 (+1585d)
Georgia (Disambiguation)  →  Georgia                   2006/1/26 0:46 (+0d)
Georgia                   →  Georgia (Disambiguation)  2007/7/6 11:35 (+526d)
Georgia (Disambiguation)  →  Georgia                   2007/7/6 11:39 (+0d)
Georgia                   →  Georgia (Disambiguation)  2007/7/6 11:41 (+0d)
Georgia (Disambiguation)  →  Georgia                   2007/7/6 11:45 (+0d)
Georgia                   →  Georgia (Disambiguation)  2007/7/6 15:26 (+0d)
Georgia (Disambiguation)  →  Georgia                   2007/7/6 15:34 (+0d)
Georgia                   →  ҢAGG﻿ER??                 2008/5/3 2:19 (+301d)
ҢAGG﻿ER??                 →  Georgia                   2008/5/3 2:28 (+0d)
------------------------  -  ------------------------  -----------------------

Georgia (U.S. state) (n=11)
-------------------------------  -  -------------------------------  -----------------------
                                 →  Georgia (U.S. state)             2001/9/23 8:33 ()
Georgia (U.S. state)             →  Georgia (United States state)    2006/2/22 3:22 (+1612d)
Georgia (United States state)    →  Georgia (U.S. state)             2006/2/25 15:45 (+3d)
Georgia (U.S. state)             →  Georgia, U.S.                    2007/2/15 4:15 (+354d)
Georgia, U.S.                    →  Georgia (U.S. state)             2007/2/16 4:55 (+1d)
Georgia (U.S. state)             →  State of Georgia                 2008/7/16 7:21 (+516d)
State of Georgia                 →  Georgia (U.S. state)             2008/7/16 7:22 (+0d)
Georgia (U.S. state)             →  MediaWiki talk:State of Georgia  2010/2/7 5:33 (+570d)
MediaWiki talk:State of Georgia  →  Georgia (U.S. state)             2010/2/7 5:34 (+0d)
-------------------------------  -  -------------------------------  -----------------------

FCSB (n=11)
--------------  -  -------------------  -----------------------
                →  FCSB                 2004/8/11 21:14 ()
FCSB            →  User:FWTH/FCSB       2018/12/2 18:6 (+5225d)
User:FWTH/FCSB  →  FC Steaua București  2018/12/2 18:7 (+0d)
--------------  -  -------------------  -----------------------

Republic of China (1912–1949) (n=10)
-----------------------------  -  -----------------------------  ----------------------
                               →  Republic of China (1912-1949)  2011/9/21 23:23 ()
Republic of China (1912-1949)  →  Republic of China (1912–1949)  2011/9/22 0:9 (+0d)
Republic of China (1912–1949)  →  Republic of China (1912–49)    2013/6/25 2:52 (+642d)
Republic of China (1912–49)    →  Republic of China (1912–1949)  2017/9/28 5:2 (+1556d)
-----------------------------  -  -----------------------------  ----------------------

Kiev (n=10)
-------------  -  -------------  ------------------------
               →  Kyiv           2002/2/24 10:22 ()
Kyiv           →  Kiev           2006/8/26 12:20 (+1644d)
Kiev           →  Kiev, Ukraine  2008/8/1 16:3 (+706d)
Kiev, Ukraine  →  Kiev           2008/8/1 16:3 (+0d)
Kiev           →  'ƗƗA66 E R ?   2009/1/13 3:15 (+164d)
'ƗƗA66 E R ?   →  Kiev           2009/1/13 3:16 (+0d)
-------------  -  -------------  ------------------------

Worcester (n=10)
-------------  -  -------------  ------------------------
               →  Worcester      2002/6/21 14:54 ()
Worcester      →  Worcester, UK  2008/1/11 20:14 (+2030d)
Worcester, UK  →  Worcester      2008/1/11 20:47 (+0d)
-------------  -  -------------  ------------------------

Usher (musician) (n=9)
-------------------  -  -------------------  -----------------------
                     →  Usher Raymond        2003/4/24 17:8 ()
Usher Raymond        →  Usher (entertainer)  2005/8/18 15:7 (+846d)
Usher (entertainer)  →  Usher Raymond        2014/5/6 13:46 (+3182d)
Usher Raymond        →  Usher (entertainer)  2014/5/6 14:52 (+0d)
Usher (entertainer)  →  Usher (singer)       2015/5/9 3:17 (+367d)
Usher (singer)       →  Usher (musician)     2017/5/15 21:47 (+737d)
-------------------  -  -------------------  -----------------------

Drake (musician) (n=9)
---------------------  -  ---------------------  ------------------------
                       →  Drake (entertainer)    2005/4/1 20:36 ()
Drake (entertainer)    →  Aubrey Graham          2009/7/13 21:24 (+1564d)
Aubrey Graham          →  Drake (entertainer)    2009/7/13 21:26 (+0d)
Drake (entertainer)    →  Aubrey Graham          2010/5/7 22:30 (+298d)
Aubrey Graham          →  Aubrey "Drake" Graham  2010/5/20 9:58 (+12d)
Aubrey "Drake" Graham  →  Aubrey Graham          2010/5/20 11:7 (+0d)
Aubrey Graham          →  Drake (entertainer)    2010/7/8 4:8 (+48d)
Drake (entertainer)    →  Drake (MC)             2012/8/16 16:13 (+770d)
Drake (MC)             →  Drake (entertainer)    2012/8/16 16:31 (+0d)
Drake (entertainer)    →  Drake (rapper)         2013/6/29 17:48 (+317d)
Drake (rapper)         →  Drake (musician)       2016/6/28 14:29 (+1094d)
Drake (musician)       →  Drake is ugly          2017/1/7 9:6 (+192d)
Drake is ugly          →  Drake (musician)       2017/1/7 9:16 (+0d)
Drake (musician)       →  Drake (singer/rapper)  2017/1/17 18:28 (+10d)
Drake (singer/rapper)  →  Drake (musician)       2017/1/17 18:33 (+0d)
Drake (musician)       →  Drake (vocalist)       2019/5/11 9:10 (+843d)
Drake (vocalist)       →  Drake (musician)       2019/5/11 12:43 (+0d)
---------------------  -  ---------------------  ------------------------

Kim Davis (n=8)
---------  -  ----------------------  --------------------
           →  Kim Davis               2015/9/1 19:30 ()
Kim Davis  →  Kim Davis (ice hockey)  2015/9/2 14:52 (+0d)
---------  -  ----------------------  --------------------

Financial crisis of 2007–2008 (n=8)
-------------------------------------------  -  -------------------------------------------  ------------------------
                                             →  Financial crisis of 2007-2008                2008/9/17 19:11 ()
Financial crisis of 2007-2008                →  Financial crisis of 2007–2008                2008/9/26 12:35 (+8d)
Financial crisis of 2007–2008                →  H.AGGEɍ?                                     2008/10/6 10:8 (+9d)
H.AGGEɍ?                                     →  Financial crisis of 2007–2008                2008/10/6 10:17 (+0d)
Financial crisis of 2007–2008                →  Financial crisis of 2007-2008                2008/10/6 13:23 (+0d)
Financial crisis of 2007-2008                →  Financial crisis of 2007–2008                2008/10/9 20:54 (+3d)
Financial crisis of 2007–2008                →  Financial crisis of 2007-2009                2009/1/14 5:20 (+96d)
Financial crisis of 2007-2009                →  Financial crisis of 2007–2009                2009/1/16 19:24 (+2d)
Financial crisis of 2007–2009                →  Financial crisis of 2007–2010                2010/1/1 11:30 (+349d)
Financial crisis of 2007–2010                →  Financial crisis beginning 2007              2010/1/10 17:40 (+9d)
Financial crisis beginning 2007              →  Financial crisis of 2007–2010                2010/1/10 21:53 (+0d)
Financial crisis of 2007–2010                →  Financial crisis of 2007–2011                2011/1/1 8:54 (+355d)
Financial crisis of 2007–2011                →  Financial crisis of 2007–2010                2011/1/2 5:29 (+0d)
Financial crisis of 2007–2010                →  Financial crisis of 2007–2011                2011/1/4 12:6 (+2d)
Financial crisis of 2007–2011                →  Financial crisis of 2007–2010                2011/1/4 12:9 (+0d)
Financial crisis of 2007–2010                →  Financial crisis (2007–Present)              2011/1/17 22:22 (+13d)
Financial crisis (2007–Present)              →  Financial crisis of 2007–2010                2011/1/17 22:29 (+0d)
Financial crisis of 2007–2010                →  Financial crisis (2007–present)              2011/1/22 9:10 (+4d)
Financial crisis (2007–present)              →  Late-2000s financial crisis                  2011/3/21 6:36 (+57d)
Late-2000s financial crisis                  →  Financial crisis (2007–present)              2011/6/7 5:22 (+77d)
Financial crisis (2007–present)              →  Late-2000s financial crisis                  2011/6/7 5:32 (+0d)
Late-2000s financial crisis                  →  Financial crisis (2007–present)              2011/6/8 4:46 (+0d)
Financial crisis (2007–present)              →  Late-2000s financial crisis                  2011/6/8 8:27 (+0d)
Late-2000s financial crisis                  →  Late-2000s and Early 2010s financial crisis  2012/4/3 23:32 (+300d)
Late-2000s and Early 2010s financial crisis  →  2008–2012 global financial crisis            2012/4/4 3:50 (+0d)
2008–2012 global financial crisis            →  2007–2012 global financial crisis            2012/4/26 13:52 (+22d)
2007–2012 global financial crisis            →  Financial crisis of 2007-2008                2012/10/8 18:26 (+165d)
Financial crisis of 2007-2008                →  Financial crisis of 2007–2008                2012/10/9 13:3 (+0d)
Financial crisis of 2007–2008                →  Financial crisis of 2007–08                  2013/5/3 23:56 (+206d)
Financial crisis of 2007–08                  →  Financial crisis of 2007-08                  2015/5/17 17:15 (+743d)
Financial crisis of 2007-08                  →  Financial crisis of 2007–08                  2015/5/17 21:20 (+0d)
Financial crisis of 2007–08                  →  Financial crisis of 2007–2008                2016/10/17 15:19 (+518d)
-------------------------------------------  -  -------------------------------------------  ------------------------

Yogurt (n=8)
--------  -  --------  ------------------------
          →  Yoghurt   2002/12/11 6:29 ()
Yoghurt   →  Yoghurt.  2006/2/8 23:8 (+1155d)
Yoghurt.  →  Yogurt.   2006/2/8 23:9 (+0d)
Yogurt.   →  Yogurt    2006/2/8 23:12 (+0d)
Yogurt    →  Yoghurt   2006/2/8 23:23 (+0d)
Yoghurt   →  Joghourt  2006/4/17 15:43 (+67d)
Joghourt  →  Yoghurt   2006/4/17 15:54 (+0d)
Yoghurt   →  Yogurt    2006/10/22 13:47 (+187d)
Yogurt    →  Yoghurt   2006/10/24 18:4 (+2d)
Yoghurt   →  Yogurt    2006/10/24 21:8 (+0d)
Yogurt    →  Yoghurt   2006/10/25 0:6 (+0d)
Yoghurt   →  Yogurt    2006/10/25 4:54 (+0d)
Yogurt    →  Yoghurt   2006/10/25 17:24 (+0d)
Yoghurt   →  Yogurt    2006/10/25 17:47 (+0d)
Yogurt    →  Yoghurt   2006/10/26 22:38 (+1d)
Yoghurt   →  Yogurt    2006/10/26 23:29 (+0d)
Yogurt    →  Yoghurt   2006/10/26 23:47 (+0d)
Yoghurt   →  Yougert   2007/7/28 16:37 (+274d)
Yougert   →  Yoghurt   2007/7/28 17:41 (+0d)
Yoghurt   →  Yogurt    2009/6/21 3:59 (+693d)
Yogurt    →  Yoghurt   2009/6/21 6:20 (+0d)
Yoghurt   →  Yogurt    2011/12/10 21:49 (+902d)
--------  -  --------  ------------------------

2011 England riots (n=8)
-------------------------  -  -------------------------  -----------------------
